country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Guinea,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520,3860,3800,3160,2480,3270,2660,1920,2010,2820,2770,4640,9500,11.6k,17.8k,17.8k,24.4k,34.5k,33k,30.7k,31.5k
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,280,301,286,341,439,659,1010,996,1130,1160,1040,1180,1750,3820,10.5k,12.8k,18.9k,22.2k,14k,9220,7090
Guinea-Bissau,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,748,277,224,199,243,285,247,256,317,338,486,898,1190,1760,1920,1870,3500,2850,2670,2660
Equatorial Guinea,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,35,61,52,50,50,27,29,48,32,72,37,78,60,81,85,100,110,176,167,193
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,49,40,37,32,43,23,10,15,21,36,38,127,100,59,65,76,95,128,133,122
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,89,175,374,258,121,101,41,63,65,88,63,45,49,41,52,51,63,62,59,89,81
Guatemala,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102k,99.5k,96.1k,88.6k,58.6k,31.8k,20.5k,15k,10.2k,9100,1020,1110,1330,8440,15.8k,27k,46.2k,72.7k,86.9k,120k,146k
Guyana,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,378,1070,1300,668,385,300,243,276,323,170,102,73,136,148,223,296,482,551,676,696
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,17,21,10,19,18,25,49,66,81,5,64,52,38,80,112,104,22,222,487
Honduras,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,1160,1250,1200,1270,1230,1360,671,941,997,815,847,804,5290,10.1k,19.5k,35.2k,59.8k,76.5k,123k,149k
